avg,bb,birth,era,h,ha,hld,hr,hw,ip,l,name,no,obp,ops,position,r,rbi,sb,so,sv,team,w,whip
0.315,49,1997-02-20,,96,,,0,"175cm, 78kg",,,문성주,8,0.411,0.791,외야수,47,48,13,38,,LG,,
0.272,55,1990-04-07,,118,,,20,"178cm, 92kg",,,박동원,27,0.349,0.810,포수,58,80,1,112,,LG,,
,12,2004-03-27,6.39,,29,8,6,"174cm, 75kg",25 1/3,2,박명근,39,,,투수,,,,13,1,LG,2,1.62
0.263,46,1990-02-24,,127,,,6,"180cm, 75kg",,,박해민,17,0.336,0.695,외야수,72,56,43,101,,LG,,
,,1994-11-24,,,,,,"188cm, 85kg",,,배재준,25,,,투수,,,,,,LG,,
,22,1995-05-26,9.11,,33,1,3,"183cm, 90kg",26 2/3,1,백승현,18,,,투수,,,,14,2,LG,2,2.06
,3,1999-05-18,0.00,,0,0,0,"189cm, 108kg",2,0,성동현,58,,,투수,,,,1,0,LG,0,1.50
,기록이 없습니다.,2000-02-15,,,,,,"178cm, 85kg",,,손용준,56,,,내야수,,,,,,LG,,
,54,1998-12-02,3.79,,157,1,11,"191cm, 95kg",144 2/3,10,손주영,29,,,투수,,,,112,0,LG,9,1.46
0.067,3,1999-02-20,,1,,,0,"182cm, 77kg",,,송찬의,14,0.250,0.317,내야수,2,1,1,6,,LG,,
0.297,64,1996-01-21,,115,,,0,"171cm, 67kg",,,신민재,4,0.401,0.758,내야수,78,40,32,47,,LG,,
0.184,4,1996-02-12,,9,,,0,"176cm, 76kg",,,안익훈,15,0.241,0.445,외야수,8,3,2,13,,LG,,
,16,1995-05-03,4.02,,41,1,5,"185cm, 97kg",47,2,에르난데스,19,,,투수,,,,55,1,LG,3,1.21
,50,1991-05-16,4.19,,169,0,16,"185cm, 95kg",167 2/3,6,엔스,34,,,투수,,,,157,0,LG,13,1.31
0.319,61,1993-10-14,,168,,,32,"183cm, 97kg",,,오스틴,23,0.384,0.957,내야수,99,132,12,82,,LG,,
0.254,51,1990-03-12,,94,,,10,"185cm, 80kg",,,오지환,10,0.350,0.761,내야수,67,59,17,106,,LG,,
,8,2002-10-03,3.09,,11,0,0,"183cm, 88kg",11 2/3,0,우강훈,61,,,투수,,,,10,0,LG,1,1.63
,30,1997-03-07,2.97,,61,1,2,"185cm, 90kg",63 2/3,5,유영찬,54,,,투수,,,,77,26,LG,7,1.43
,8,1994-07-15,4.15,,4,0,0,"183cm, 110kg",4 1/3,0,윤호솔,28,,,투수,,,,5,0,LG,0,2.77
,4,2000-07-18,15.75,,11,0,0,"188cm, 80kg",4,1,이믿음,37,,,투수,,,,2,0,LG,0,3.75
,8,2000-12-03,3.31,,15,1,1,"193cm, 95kg",16 1/3,1,이상영,26,,,투수,,,,8,0,LG,0,1.41
0.222,4,2002-06-17,,14,,,2,"181cm, 85kg",,,이영빈,7,0.261,0.610,내야수,11,12,0,20,,LG,,
,30,1992-08-04,8.82,,42,6,2,"185cm, 97kg",33 2/3,2,이우찬,21,,,투수,,,,31,0,LG,3,2.14
,기록이 없습니다.,1999-07-17,,,,,,"192cm, 105kg",,,이재원,,,,외야수,,,,,,LG,,
,16,2001-03-09,4.15,,26,1,4,"191cm, 93kg",26,2,이종준,40,,,투수,,,,28,0,LG,1,1.62
0.667,0,2003-03-04,,4,,,0,"185cm, 92kg",,,이주헌,63,0.667,1.667,포수,0,3,0,2,,LG,,
,26,1999-07-02,4.53,,61,1,5,"183cm, 85kg",53 2/3,3,이지강,50,,,투수,,,,39,1,LG,2,1.62
,,2003-03-04,,,,,,"188cm, 92kg",,,이지훈,65,,,투수,,,,,,LG,,
,4,2000-11-16,6.59,,16,0,2,"180cm, 87kg",13 2/3,0,임준형,59,,,투수,,,,13,0,LG,0,1.46
,42,1992-11-20,3.83,,144,1,12,"185cm, 80kg",134,6,임찬규,1,,,투수,,,,136,0,LG,10,1.39
0.000,0,1998-07-01,,0,,,0,"181cm, 80kg",,,전준호,32,0.000,0.000,포수,0,0,0,1,,LG,,
,11,1999-08-19,4.76,,31,3,0,"193cm, 99kg",22 2/3,1,정우영,16,,,투수,,,,17,0,LG,2,1.85
,11,2003-12-11,11.68,,19,1,2,"180cm, 85kg",12 1/3,0,정지헌,49,,,투수,,,,11,0,LG,0,2.43
,4,2001-02-05,4.70,,8,0,1,"188cm, 97kg",7 2/3,0,진우영,48,,,투수,,,,6,0,LG,0,1.57
,9,1989-09-19,6.95,,35,2,4,"184cm, 83kg",22,1,최동환,13,,,투수,,,,14,0,LG,0,2.00
0.333,0,2001-06-14,,1,,,0,"177cm, 80kg",,,최명경,57,0.333,0.666,외야수,0,0,0,1,,LG,,
0.077,2,1996-07-01,,1,,,0,"181cm, 73kg",,,최승민,62,0.200,0.277,외야수,20,1,11,3,,LG,,
,,2002-11-29,,,,,,"183cm, 84kg",,,최용하,60,,,투수,,,,,,LG,,
0.270,1,2003-07-18,,10,,,1,"174cm, 76kg",,,최원영,38,0.341,0.746,외야수,18,5,6,7,,LG,,
,57,1997-01-07,4.26,,126,0,10,"184cm, 104kg",126 2/3,7,최원태,20,,,투수,,,,103,0,LG,9,1.44
,25,1989-10-04,4.51,,131,0,13,"191cm, 98kg",113 2/3,8,켈리,,,,투수,,,,69,0,LG,5,1.37
,7,1995-01-13,5.40,,13,3,2,"181cm, 78kg",11 2/3,1,함덕주,11,,,투수,,,,8,0,LG,0,1.71
0.143,2,2001-08-18,,2,,,0,"176cm, 83kg",,,함창건,24,0.250,0.393,외야수,3,0,0,3,,LG,,
